,ds_classe2,vl_total
0,Limpeza,505580.29
1,Seca Pesada,424601.70
2,Perfumaria/Higiene E Beleza,404679.51
3,Bebidas Frias,347347.86
4,Seca Leve,334511.53
5,Acougue,289015.18
6,Seca Doce,260378.08
7,Leite,212131.83
8,Seca Salgada,181528.85
9,Congelados,173347.13
10,Laticinios,160268.42
11,Fiambreria,118946.54
12,Paes E Bolos Industrializados,100879.75
13,"Frios,Massas E Gordurosos",93383.89
14,Padaria,41653.93
15,Bebidas Quentes,37346.44
16,Granjeiros,27557.09
17,Confeitaria,20527.96
18,Rotisseria,17149.25
